hrap_id,hrapx,hrapy,county,max_win_pt,return_period
595_132,595,132,Goliad,0.32,1.0
595_131,595,131,Goliad,0.21,1.0
594_133,594,133,Goliad,0.32,1.0
593_133,593,133,Goliad,0.34,1.0
592_133,592,133,Goliad,0.28,1.0
594_132,594,132,Goliad,0.33,1.0
592_132,592,132,Goliad,0.34,1.0
594_131,594,131,Goliad,0.31,1.0
593_131,593,131,Goliad,0.28,1.0
592_131,592,131,Goliad,0.28,1.0
591_133,591,133,Goliad,0.2,1.0
590_133,590,133,Goliad,0.21,1.0
589_133,589,133,Goliad,0.52,1.0
591_132,591,132,Goliad,0.29,1.0
589_132,589,132,Goliad,0.24,1.0
591_131,591,131,Goliad,0.35,1.0
590_131,590,131,Goliad,0.16,1.0
589_131,589,131,Goliad,0.17,1.0
588_133,588,133,Goliad,0.5,1.0
587_133,587,133,Karnes,0.54,1.0
586_133,586,133,Karnes,1.37,1.0
588_132,588,132,Goliad,0.38,1.0
587_132,587,132,Goliad,0.33,1.0
586_132,586,132,Bee,0.61,1.0
588_131,588,131,Goliad,0.31,1.0
586_131,586,131,Bee,0.34,1.0
588_130,588,130,Bee,0.28,1.0
587_130,587,130,Bee,0.25,1.0
586_130,586,130,Bee,0.37,1.0
585_132,585,132,Bee,1.39,1.0
584_132,584,132,Bee,1.5,1.0
583_132,583,132,Bee,1.09,1.0
585_131,585,131,Bee,0.66,1.0
583_131,583,131,Bee,1.1,1.0
585_130,585,130,Bee,0.32,1.0
584_130,584,130,Bee,0.52,1.0
583_130,583,130,Bee,1.0,1.0
582_132,582,132,Bee,0.76,1.0
581_132,581,132,Bee,0.58,1.0
580_132,580,132,Live Oak,0.54,1.0
582_131,582,131,Bee,0.81,1.0
580_131,580,131,Bee,0.66,1.0
582_130,582,130,Bee,0.84,1.0
581_130,581,130,Bee,0.81,1.0
580_130,580,130,Bee,0.59,1.0
580_129,580,129,Bee,0.7,1.0
579_132,579,132,Live Oak,0.38,1.0
578_132,578,132,Live Oak,0.29,1.0
579_131,579,131,Bee,0.47,1.0
578_131,578,131,Live Oak,0.48,1.0
577_131,577,131,Live Oak,0.15,1.0
579_130,579,130,Live Oak,0.56,1.0
577_130,577,130,Live Oak,0.38,1.0
579_129,579,129,Live Oak,0.59,1.0
578_129,578,129,Live Oak,0.6,1.0
577_129,577,129,Live Oak,0.66,1.0
576_131,576,131,Live Oak,0.09,1.0
575_131,575,131,Live Oak,0.06,1.0
574_131,574,131,Atascosa,0.06,1.0
576_130,576,130,Live Oak,0.14,1.0
574_130,574,130,Live Oak,0.06,1.0
576_129,576,129,Live Oak,0.29,1.0
575_129,575,129,Live Oak,0.21,1.0
573_131,573,131,Atascosa,0.07,1.0
572_131,572,131,Atascosa,0.09,1.0
571_131,571,131,Atascosa,0.11,1.0
572_130,572,130,Atascosa,0.1,1.0
574_129,574,129,Live Oak,0.08,1.0
573_129,573,129,Live Oak,0.07,1.0
572_129,572,129,McMullen,0.11,1.0
570_131,570,131,Atascosa,0.24,1.0
571_130,571,130,Atascosa,0.13,1.0
570_130,570,130,Atascosa,0.14,1.0
569_130,569,130,Atascosa,0.24,1.0
571_129,571,129,McMullen,0.14,1.0
569_129,569,129,McMullen,0.18,1.0
571_128,571,128,McMullen,0.13,1.0
570_128,570,128,McMullen,0.21,1.0
569_128,569,128,McMullen,0.22,1.0
568_130,568,130,Atascosa,0.26,1.0
567_130,567,130,Atascosa,0.17,1.0
566_130,566,130,Atascosa,0.18,1.0
568_129,568,129,McMullen,0.25,1.0
566_129,566,129,Atascosa,0.15,1.0
568_128,568,128,McMullen,0.26,1.0
567_128,567,128,McMullen,0.21,1.0
566_128,566,128,McMullen,0.13,1.0
565_130,565,130,Atascosa,0.15,1.0
564_130,564,130,Atascosa,0.02,1.0
563_130,563,130,Atascosa,0.02,1.0
565_129,565,129,Atascosa,0.09,1.0
